sat,tothrs,colgpa,verbmath,hsize,hsrank,hsperc,female,white,black,hsizesq,athlete
1010,17,3.5799999,.94230998,.28,2,7.1428571,1,1,0,.078400001,No
700,38,2.3900001,1,.32,22,68.75,0,1,0,.1024,Yes
930,15,3.46,.86000001,3.72,67,18.010754,1,1,0,13.8384,No
900,18,3.1600001,.91488999,2.54,69,27.165354,0,1,0,6.4516001,No
1090,29,1.03,.91228002,2.02,121,59.90099,0,1,0,4.0804,No
1120,79,3,1.24,4.7,78,16.595745,1,0,0,22.09,No
960,15,2.3299999,.77778,4.47,320,71.588364,0,0,1,19.9809,yes
890,37,2.45,.77999997,1.24,50,40.322582,0,1,0,1.5376,Y
1240,47,3.6500001,.79710001,5.37,31,5.7728119,0,1,0,28.836901,No
1090,113,3.6099999,.84745997,3.64,50,13.736263,1,1,0,13.2496,No
820,47,3.25,1.10256,6.34,68,10.725552,1,1,0,40.195599,no
940,16,3.8099999,.77358001,3.42,53,15.497076,0,1,0,11.6964,N
820,40,2.25,1.10256,5.71,344,60.245182,0,0,0,32.604099,yes
970,39,2.4100001,.67241001,5.66,83,14.664311,0,1,0,32.035599,yes
790,17,2.8199999,1.07895,5.97,72,12.060302,0,1,0,35.6409,Y
1080,13,2.3,1.11765,.1,7,70,1,1,0,.0099999998,No
850,48,3.27,.80851001,3.1,54,17.419355,1,1,0,9.6099997,No
850,15,2.6600001,.80851001,.73,5,6.8493152,1,1,0,.53289998,Y
820,95,2.26,.70832998,1.31,98,74.809158,0,1,0,1.7161,yes
1120,12,2.3299999,.67163998,4.88,20,4.0983605,0,1,0,23.8144,yes
880,43,2.3699999,1.09524,4.07,70,17.199017,1,1,0,16.564899,Yes
1540,85,4,.97435999,2.3,1,.43478259,0,1,0,5.29,No
780,86,3.8099999,1,3.47,38,10.951009,0,1,0,12.0409,No
1280,55,3.8699999,1.03175,2.03,3,1.4778326,1,1,0,4.1209002,N
1260,13,4,.75,2.17,5,2.3041475,1,1,0,4.7089,No
830,83,1.95,.84443998,2,84,42,0,0,1,4,Yes
980,16,2.4300001,.68966001,.92,28,30.434782,0,1,0,.84640002,No
500,14,1.21,1.27273,4.57,329,71.991249,0,1,0,20.884899,Yes
1040,15,3,.96226001,3.61,31,8.5872574,0,1,0,13.0321,N
930,12,1.75,.82353002,3.25,26,8,1,0,0,10.5625,N
570,79,1.73,.96552002,3.24,187,57.716049,0,0,1,10.4976,yes
820,13,1.84,.82222003,3.03,147,48.514851,1,1,0,9.1808996,No
1310,16,2.25,.95521998,4.67,122,26.124197,0,1,0,21.808901,N
770,15,2.1300001,.79070002,1,30,30,1,0,0,1,No
1180,18,3.77,.87301999,4.8,48,10,0,1,0,23.040001,no
1310,53,3.22,.92646998,3.2,30,9.375,0,1,0,10.24,No
1150,63,2.1700001,1.12963,3.02,64,21.192053,0,1,0,9.1204004,N
1130,113,2.77,.91525,1.66,33,19.879519,0,0,0,2.7556,No
1110,122,3.3599999,1.09434,2.04,9,4.4117646,1,1,0,4.1616001,No
1210,16,3.6199999,1.01667,2.93,14,4.7781572,0,1,0,8.5848999,No
1090,20,3.7,1.01852,1.87,6,3.2085562,1,1,0,3.4969001,No
1040,54,2,.82455999,3.55,82,23.098591,1,1,0,12.6025,No
1340,81,3.6900001,1.0303,1.11,15,13.513514,1,1,0,1.2321,No
900,76,1.75,.91488999,.86,16,18.60465,0,1,0,.7396,No
650,52,2.1900001,.80555999,2.06,57,27.669903,0,1,0,4.2435999,Yes
1190,77,3.4000001,.67606002,4.24,26,6.1320753,1,1,0,17.9776,No
990,16,1.4299999,.73684001,2.51,39,15.537848,1,1,0,6.3000998,N
1160,50,2.78,.73133999,3.72,79,21.236559,1,1,0,13.8384,N
1140,71,2.6099999,.58332998,2.41,24,9.9585066,0,1,0,5.8081002,Yes
1180,87,3.0899999,1.18519,4.69,36,7.6759062,0,1,0,21.996099,Yes
1120,49,2.8299999,.83607,.1,1,10,1,1,0,.0099999998,No
1010,15,1.9299999,.77192998,3.19,157,49.216301,1,1,0,10.1761,N
1160,113,2.8800001,.96609998,4.02,15,3.7313433,0,1,0,16.1604,No
1200,16,3.3099999,1.10526,4.32,209,48.379631,1,1,0,18.662399,No
720,16,1.9299999,.94594997,4.3,230,53.488373,1,0,0,18.49,Yes
1190,36,2.4100001,.91935003,2.61,97,37.164749,0,1,0,6.8120999,No
970,14,2.9200001,.76363999,3.41,116,34.017597,1,1,0,11.6281,No
1210,17,3.52,.95161003,5.11,1,.19569471,1,1,0,26.112101,No
930,49,2.9300001,.72222,2,65,32.5,0,1,0,4,N
1000,74,2.28,.85184997,2.36,75,31.779661,0,1,0,5.5696001,No
970,42,1.95,.76363999,4.33,130,30.023094,0,1,0,18.748899,no
960,45,3.02,.88235003,.1,3,30,1,1,0,.0099999998,Yes
980,47,3.25,1.27907,.1,4,40,0,1,0,.0099999998,No
960,118,3.3199999,.92000002,2.26,96,42.477875,0,1,0,5.1076002,No
970,79,2.03,.73214,.1,3,30,0,1,0,.0099999998,yes
960,79,2.3399999,1,.74,7,9.4594593,1,1,0,.54759997,No
1160,96,3.4100001,.93333,2.12,19,8.9622641,0,1,0,4.4944,no
1080,80,2.5599999,.6875,2.12,100,47.169811,0,1,0,4.4944,No
990,14,4,.80000001,3.05,3,.98360658,1,1,0,9.3024998,N
1130,18,1.33,.79364997,2.35,91,38.723404,1,1,0,5.5225,no
1060,12,2.25,.85965002,2.35,66,28.085106,0,1,0,5.5225,No
1060,15,2.5999999,.89286,2.35,44,18.723404,1,1,0,5.5225,No
1120,73,2.6300001,.77778,2.95,15,5.0847459,0,1,0,8.7025003,No
1030,17,2.5799999,.63492,2.78,59,21.223022,0,1,0,7.7284002,No
1070,48,3.04,.78333002,3.15,99,31.428572,0,1,0,9.9224997,No
910,13,2.76,.75,3.72,85,22.849463,0,1,0,13.8384,N
1100,108,1.95,1,3.73,188,50.402145,0,1,0,13.9129,No
1000,106,2.9200001,.78570998,3.73,127,34.048256,0,1,0,13.9129,no
1000,17,3.4100001,.75439,3.71,99,26.684637,0,1,0,13.7641,No
970,46,2.73,.67241001,4.1,113,27.560976,1,1,0,16.809999,No
1070,35,2.54,.55071998,6,62,10.333333,0,1,0,36,N
950,15,3.0599999,.66667002,2.85,24,8.4210529,0,1,0,8.1225004,No
1140,16,1.9299999,.86884999,2.17,34,15.668202,1,1,0,4.7089,No
1060,17,3.23,.89286,1.56,27,17.307692,0,1,0,2.4335999,No
940,50,2.54,.70908999,2.51,45,17.928288,0,1,0,6.3000998,Yes
960,48,2.22,.71429002,1,39,39,0,1,0,1,no
890,104,1.99,.93478,2.1,38,18.095238,0,1,0,4.4099998,No
1120,41,1.75,.89831001,3.28,152,46.341465,1,1,0,10.7584,No
1150,14,3.1400001,.82539999,.1,4,40,0,1,0,.0099999998,No
1270,107,3.24,.78873003,.1,4,40,0,1,0,.0099999998,no
1100,18,2,.83332998,.1,4,40,1,1,0,.0099999998,N
1150,14,2.5,.94915003,.1,5,50,0,1,0,.0099999998,no
1090,15,1.6,.91228002,1.5,79,52.666668,0,1,0,2.25,no
1220,110,3.05,.84847999,.1,5,50,1,1,0,.0099999998,no
1070,102,2.4100001,.75410002,.1,5,50,0,1,0,.0099999998,No
1030,15,2.73,1.01961,1.36,4,2.9411764,1,1,0,1.8496,No
980,49,2.9300001,.63332999,3.2,17,5.3125,0,1,0,10.24,N
930,44,2.5,.82353002,2.71,40,14.760148,1,1,0,7.3441,No
1030,43,2.6900001,.98076999,3.08,62,20.129869,1,1,0,9.4863997,No
1100,71,2.6099999,.80328,3.06,99,32.35294,0,1,0,9.3635998,Yes
1100,18,2.9400001,.92982,3.1,28,9.032258,0,1,0,9.6099997,No
1070,50,3.4400001,.91070998,1.78,10,5.6179776,0,1,0,3.1684,No
980,16,3.1199999,.75,2.27,21,9.2511015,0,1,0,5.1529002,No
1000,50,3.46,1.12766,1.78,23,12.921349,1,1,0,3.1684,No
1190,17,3.6400001,1.01695,1.78,40,22.47191,1,1,0,3.1684,No
1060,35,2.5699999,.65625,2.61,76,29.118774,0,0,0,6.8120999,No
1240,16,3.4300001,.85075003,2.94,41,13.945579,1,1,0,8.6436005,N
950,115,2.24,.86274999,2.12,70,33.018867,1,1,0,4.4944,N
1300,42,2.78,.66667002,2.61,142,54.406132,0,1,0,6.8120999,No
860,92,2.1300001,.45763001,2.74,110,40.145985,0,1,0,7.5075998,yes
1010,94,2.6900001,.74137998,2.56,74,28.90625,0,1,0,6.5535998,No
1180,117,3.29,.76119,2.56,94,36.71875,1,1,0,6.5535998,No
1040,69,2.3099999,1,.1,4,40,1,1,0,.0099999998,no
1010,16,2.3099999,.74137998,1.95,36,18.461538,1,1,0,3.8025,No
1000,17,1.88,.85184997,1.96,35,17.857143,0,1,0,3.8415999,no
1030,17,2.47,.74576002,.1,3,30,0,1,0,.0099999998,No
1100,18,2.6600001,.92982,2.36,22,9.3220339,0,1,0,5.5696001,No
1240,92,2.77,.77143002,.58,16,27.586206,0,1,0,.3364,N
1110,45,3.77,.91378999,.48,20,41.666668,1,1,0,.2304,Yes
1070,14,1,.87718999,1.86,87,46.774193,0,1,0,3.4596,No
1040,47,2.02,.89091003,1.95,60,30.76923,0,1,0,3.8025,no
1290,93,3.4300001,1.08065,2.31,1,.43290043,1,1,0,5.3361001,no
1010,78,2.6900001,.83635998,2.31,36,15.584415,0,1,0,5.3361001,No
1080,50,3.7,.74194002,.51,8,15.686275,0,1,0,.26010001,no
1120,41,3.6800001,.62318999,3.44,8,2.3255813,1,1,0,11.8336,no
1210,49,1.97,.75362003,3.44,120,34.88372,0,1,0,11.8336,N
990,16,2.9300001,.98000002,4.01,94,23.441397,1,1,0,16.080099,No
1130,13,2.23,.73846,1.1,64,58.18182,0,1,0,1.21,N
840,16,2.1199999,.78723001,.48,32,66.666664,1,1,0,.2304,Yes
1050,45,3.6600001,.875,5.5,39,7.090909,1,1,0,30.25,No
1050,15,1.8,.75,6.2,266,42.903225,0,1,0,38.439999,yes
1000,50,2.48,.88678998,5.5,117,21.272728,1,1,0,30.25,No
1020,81,2.97,1.37209,4.63,28,6.0475163,1,1,0,21.436899,No
960,48,1.7,.68421,5.5,163,29.636364,1,0,0,30.25,No
890,75,1.98,1.225,7.68,451,58.723957,1,1,0,58.982399,Yes
1320,16,4,.75999999,8.539999999999999,3,.35128805,0,1,0,72.931602,No
1140,32,3.3699999,.86884999,1.61,4,2.484472,1,1,0,2.5920999,No
1000,106,1.84,.72413999,1.52,41,26.973684,0,1,0,2.3104,No
1040,40,2.1500001,.76270998,1.61,89,55.279503,0,1,0,2.5920999,No
850,11,1.8099999,1.02381,1.79,153,85.474861,0,1,0,3.2040999,Yes
1050,116,3.5599999,.84210998,6,21,3.5,1,1,0,36,No
1140,14,2.0699999,.86884999,2.7,16,5.9259257,0,1,0,7.29,No
1120,73,2.23,.96490997,4.63,42,9.0712748,1,1,0,21.436899,No
1060,126,3.1099999,.92727,1.52,21,13.815789,1,1,0,2.3104,No
1090,18,2.72,.91228002,6.61,159,24.054462,0,1,0,43.692101,No
1080,70,2.1099999,1.25,.4,21,52.5,0,1,0,.16,no
1070,48,2.75,.94545001,5.12,70,13.671875,1,1,0,26.214399,N
1130,18,3.1600001,1.0545501,5.84,100,17.123287,0,1,0,34.105598,no
1410,49,3.6900001,.90540999,3.61,19,5.2631578,0,1,0,13.0321,No
1000,11,2.45,1.12766,3.93,73,18.575064,0,1,0,15.4449,No
1130,44,3.72,1.0178601,3.61,28,7.7562327,0,1,0,13.0321,No
1130,42,2.02,.85246003,3.61,60,16.620499,1,1,0,13.0321,No
1120,58,3.1300001,.96490997,3.53,29,8.2152977,1,1,0,12.4609,No
1180,17,2.76,.76119,2.75,4,1.4545455,0,1,0,7.5625,No
1020,78,2.8699999,1.2173899,5.8,22,3.7931035,1,1,0,33.639999,No
810,16,2.4300001,.92856997,6.47,69,10.664606,1,1,0,41.860901,no
940,15,3.0599999,.84314001,2.34,14,5.9829059,1,1,0,5.4755998,No
880,16,2.75,.83332998,3.21,51,15.887851,1,1,0,10.3041,No
910,52,2.46,.89582998,3.86,190,49.222797,0,0,1,14.8996,Yes
1490,106,4,.98667002,4,1,.25,1,1,0,16,No
1040,54,3.01,.76270998,4.35,35,8.0459766,0,1,0,18.922501,No
1220,55,3.3,.74286002,4.35,93,21.379311,0,1,0,18.922501,No
1140,47,3.4200001,.72727001,1.59,4,2.5157232,1,1,0,2.5281,N
1170,16,3.4300001,.80000001,5.61,89,15.864528,0,1,0,31.472099,no
910,15,.60000002,.81999999,5.63,328,58.259327,0,1,0,31.696899,Yes
1290,45,3.71,.79167002,5.21,19,3.6468329,0,1,0,27.1441,No
1340,78,3.3800001,.78667003,4.99,4,.8016032,0,1,0,24.900101,No
1110,127,2.6199999,.65671998,3.44,99,28.77907,0,1,0,11.8336,No
1040,81,3.49,.92593002,3.2,20,6.25,0,1,0,10.24,No
1070,13,2.53,.67188001,.37,11,29.729731,0,1,0,.13689999,No
1200,18,3.77,1,3.25,7,2.1538463,0,1,0,10.5625,No
950,90,2.6500001,.93878001,3.4,46,13.529411,0,1,0,11.56,No
1110,46,2.6700001,.79031998,.04,2,50,1,1,0,.0016,yes
970,40,2.3499999,.90196002,4.54,140,30.837004,0,1,0,20.611601,no
1090,83,2.6700001,.84745997,3.64,33,9.0659342,1,1,0,13.2496,No
960,35,2.05,.88235003,3.71,110,29.649595,1,1,0,13.7641,No
980,41,2.3099999,.84906,.1,6,60,1,1,0,.0099999998,No
1070,14,2.9200001,.87718999,3.62,61,16.850828,0,1,0,13.1044,No
1040,17,2.9400001,.82455999,1.27,7,5.5118113,0,1,0,1.6129,No
1170,73,3.28,.74627,4.7,127,27.021276,0,1,0,22.09,Yes
1010,18,2.72,.90565997,4.67,116,24.839401,0,1,0,21.808901,No
1110,15,2.9300001,1.09434,3.96,46,11.616161,1,1,0,15.6816,No
890,15,2.2,.97777998,3.96,100,25.252525,1,1,0,15.6816,No
950,97,2.4200001,.89999998,6.5,75,11.538462,0,1,0,42.25,No
780,14,2.8499999,.90244001,6.54,81,12.385321,1,0,0,42.771599,Y
1230,97,2.1600001,1.01639,3.39,13,3.8348083,1,1,0,11.4921,N
1160,18,3.55,.93333,1.94,4,2.0618556,1,1,0,3.7636001,No
1020,41,2.46,1.125,2.52,56,22.222221,1,1,0,6.3504,No
1200,84,2.26,.93548,.1,3,30,0,1,0,.0099999998,No
1230,46,3.47,.75713998,2.68,6,2.238806,0,1,0,7.1824002,No
1110,129,2.2,1.09434,.1,4,40,1,1,0,.0099999998,No
1250,38,2.3399999,.92308003,1.15,11,9.565217,0,1,0,1.3225,No
980,32,2.1800001,.78182,1.15,55,47.826088,0,1,0,1.3225,No
1100,80,3.0999999,.74602997,.9399999999999999,44,46.80851,0,1,0,.8836,No
880,38,2,.69230998,2.54,116,45.669292,0,1,0,6.4516001,No
1050,57,2.9400001,.66667002,3.16,8,2.5316455,0,1,0,9.9856005,No
910,117,3.03,.78430998,5,122,24.4,1,1,0,25,No
1140,46,3.3199999,.96552002,5.94,47,7.9124579,1,1,0,35.2836,No
990,83,3.1400001,1.25,5.66,8,1.4134276,0,1,0,32.035599,No
1130,42,2.76,.73846,5.94,209,35.185184,0,1,0,35.2836,No
1010,17,1.29,1.10417,6.8,252,37.058823,1,1,0,46.240002,no
1030,108,3.1099999,.90741003,5.44,52,9.5588236,1,1,0,29.593599,No
1070,50,2.1199999,.94545001,4.6,8,1.7391304,1,1,0,21.16,No
900,29,2.72,.73076999,3.11,17,5.466238,1,1,0,9.6721001,No
1030,125,2.8199999,.98076999,4.49,33,7.3496661,0,1,0,20.160101,N
940,45,3.1099999,1.13636,2.12,7,3.3018868,1,1,0,4.4944,N
1020,13,2.46,.67212999,4.4,61,13.863636,0,1,0,19.360001,No
980,76,3.01,.75,2.13,10,4.6948357,1,1,0,4.5369,No
1060,16,3.1800001,.96296,3.93,47,11.959288,0,1,0,15.4449,No
1160,80,3.5,.70587999,4.03,20,4.962779,0,1,0,16.2409,no
1210,17,2.7,.89063001,4.35,25,5.7471266,0,1,0,18.922501,No
1050,43,2.76,1.1875,2.5,32,12.8,1,1,0,6.25,No
1160,17,2.8800001,.84127003,4.94,94,19.028339,0,1,0,24.403601,No
850,83,3.6099999,.84783,1.73,26,15.028902,1,1,0,2.9928999,no
950,46,2.71,1.11111,.61,16,26.229507,1,1,0,.3721,No
940,16,2.4300001,.80769002,4.28,47,10.981308,1,1,0,18.318399,No
1040,81,3.2,1.03922,4.01,42,10.473816,1,1,0,16.080099,no
1090,114,3.02,.84745997,3.94,24,6.0913706,0,1,0,15.5236,No
1210,52,4,.80597001,4.48,6,1.3392857,0,1,0,20.0704,No
1100,50,3.2,1.07547,1.24,1,.80645162,1,1,0,1.5376,no
1180,81,1.8200001,.87301999,3.21,167,52.024921,0,1,0,10.3041,yes
750,41,1.41,.78570998,6.15,76,12.357723,0,0,0,37.822498,N
1280,80,3.76,.70666999,6.86,44,6.4139943,0,1,0,47.059601,No
940,16,2.6199999,1.35,.1,6,60,0,1,0,.0099999998,No
1010,15,1.9299999,.68333,.79,12,15.189874,1,1,0,.62410003,No
990,108,2.6900001,1.0625,1.74,71,40.804596,1,1,0,3.0276,N
990,16,1.5,.83332998,3.61,86,23.822714,0,1,0,13.0321,No
1010,90,3.1600001,.87036997,2.74,21,7.6642337,1,1,0,7.5075998,N
1130,78,3.1099999,.73846,2.15,20,9.3023252,1,1,0,4.6224999,No
970,47,3.29,.90196002,2.13,15,7.0422535,1,1,0,4.5369,no
1050,18,2.9400001,1.1875,3.72,18,4.8387098,1,1,0,13.8384,No
1080,113,3.3099999,1,.6,12,20,0,1,0,.36000001,N
1050,16,2.9300001,.81033999,4.25,55,12.941176,0,1,0,18.0625,No
1000,50,3.28,.72413999,3.8,4,1.0526316,1,1,0,14.44,No
1270,13,3.46,.84057999,6.63,20,3.0165913,0,1,0,43.956902,N
1160,18,2.27,.87097001,.37,17,45.945946,0,1,0,.13689999,N
930,10,1.5,.97872001,3.6,123,34.166668,1,1,0,12.96,No
1010,80,2.3099999,.68333,4,57,14.25,0,1,0,16,No
1010,16,3.6199999,.80356997,3.6,9,2.5,1,1,0,12.96,No
990,52,2.6900001,.80000001,4,5,1.25,1,1,0,16,No
540,92,1.91,.58824003,5.77,402,69.670708,0,0,1,33.2929,Yes
1050,45,2.53,.84210998,4.96,104,20.967741,0,1,0,24.601601,No
1150,82,3.6199999,.98276001,4.58,10,2.1834061,1,1,0,20.9764,No
1050,81,2.9000001,.69354999,4.12,21,5.0970874,0,1,0,16.9744,No
990,15,3.1300001,.94117999,1.09,23,21.100918,1,1,0,1.1881,N
1050,16,2.8699999,.66667002,4.88,56,11.47541,0,1,0,23.8144,N
1170,15,2.26,.98304999,3.93,84,21.374046,0,1,0,15.4449,N
930,43,3.48,1.02174,6.04,27,4.4701986,1,1,0,36.481602,Y
1000,18,2.4400001,.92308003,4.47,80,17.897091,0,1,0,19.9809,No
1020,17,3.1700001,.75862002,3.3,12,3.6363637,1,1,0,10.89,No
1160,87,3.0799999,1,3.5,10,2.8571429,1,1,0,12.25,No
1130,18,3.3800001,1.0178601,4.67,6,1.2847966,1,1,0,21.808901,no
900,80,3.0599999,.73076999,3.6,7,1.9444444,1,1,0,12.96,No
870,78,2.75,.85105997,3.6,11,3.0555556,1,1,0,12.96,No
970,114,3.0599999,.97959,1.11,14,12.612613,0,0,0,1.2321,No
1090,63,2.5999999,.75805998,1.28,30,23.4375,0,1,0,1.6384,no
1040,39,3.1700001,.70491999,5.4,36,6.6666665,1,1,0,29.16,No
1070,17,3.1700001,.69840997,6.01,84,13.976706,0,1,0,36.120098,No
810,44,2.3599999,1.025,5.2,214,41.153847,0,1,0,27.040001,Yes
1200,14,3.21,.73913002,6.31,43,6.81458,0,1,0,39.816101,no
1020,81,3.5899999,.82143003,5.05,17,3.3663366,1,1,0,25.502501,No
1230,110,2.8399999,1.0847501,4.4,45,10.227273,1,1,0,19.360001,no
1040,111,2.98,.92593002,7.5,220,29.333334,1,1,0,56.25,No
830,11,1.9,.84443998,7.31,271,37.072502,1,1,0,53.4361,No
1230,79,3.6500001,.75713998,2.5,3,1.2,0,1,0,6.25,N
1050,13,4,.90908998,.83,13,15.662651,1,1,0,.68889999,No
910,50,2.3599999,.97825998,3.7,116,31.351351,1,1,0,13.69,No
1070,44,3.52,.91070998,3.7,42,11.351352,1,1,0,13.69,no
1050,12,3.3299999,.75,3.7,30,8.1081085,1,1,0,13.69,No
1110,78,3.5,.58570999,3.21,23,7.1651092,0,1,0,10.3041,No
1170,112,2.72,.94999999,7.9,65,8.2278481,1,1,0,62.41,No
890,62,2.3499999,1.02273,7,150,21.428572,1,1,0,49,No
720,83,2.26,1.4,4.25,147,34.588234,1,1,0,18.0625,No
1170,15,3,.94999999,1.44,29,20.138889,0,1,0,2.0736001,No
1140,74,2.8599999,.89999998,3.54,8,2.259887,0,1,0,12.5316,No
1200,81,2.55,.84614998,4.8,38,7.9166665,1,1,0,23.040001,N
1010,13,2.3800001,1.06122,4.03,35,8.6848631,1,1,0,16.2409,No
1330,46,4,.89999998,3.03,1,.330033,1,1,0,9.1808996,N
920,42,3.0699999,.87755001,3.03,20,6.6006598,0,1,0,9.1808996,no
1180,79,2.4100001,.78788,.31,2,6.4516129,0,1,0,.096100003,No
1000,47,3.4200001,.85184997,5.74,59,10.278746,1,1,0,32.947601,no
1140,15,2.8599999,.83871001,6.35,103,16.220472,1,1,0,40.322498,No
1130,50,3.78,.68656999,1.94,1,.51546389,0,1,0,3.7636001,No
1010,95,2.46,.94230998,4.57,123,26.914661,0,1,0,20.884899,yes
930,50,1.88,1.02174,2.88,197,68.402779,0,1,0,8.2944002,yes
1110,88,2.3699999,.88135999,2.91,30,10.309278,1,1,0,8.4680996,No
850,78,2.0699999,.93181998,5.37,234,43.57542,0,1,0,28.836901,yes
1050,76,2.8800001,.69354999,5.62,23,4.0925269,0,0,0,31.5844,No
1080,15,2.8,.66153997,7.71,207,26.848249,0,1,0,59.444099,N
1240,49,3.6500001,.87879002,7.45,22,2.9530201,1,1,0,55.502499,No
1060,114,2.8699999,.76666999,6.37,192,30.141287,1,1,0,40.5769,No
1160,98,3.47,.93333,6.37,101,15.855573,1,1,0,40.5769,yes
970,121,2.8299999,.61667001,6.37,65,10.204082,1,1,0,40.5769,no
1100,43,2.4100001,.89655,7.45,218,29.261745,0,1,0,55.502499,no
1060,41,3.8499999,1.12,7.45,260,34.89933,1,1,0,55.502499,no
790,47,2.46,.71739,2,7,3.5,1,1,0,4,N
880,11,1.09,.91303998,4.17,101,24.220623,0,1,0,17.388901,No
1000,45,3.28,1.17391,.53,16,30.188679,1,1,0,.2809,No
990,18,2.3800001,1.10638,3.3,60,18.181818,1,1,0,10.89,No
1040,13,2.3,.89091003,3.3,76,23.030304,0,1,0,10.89,no
1040,14,3.28,1.03922,2.06,12,5.8252425,1,1,0,4.2435999,No
840,15,3,.71429002,3.39,58,17.109144,1,0,1,11.4921,no
1060,54,3.01,.60606003,2.84,24,8.4507046,1,1,0,8.0656004,No
950,72,2.3,1.15909,2.48,96,38.709679,1,1,0,6.1504002,N
1030,81,2.3299999,.83929002,2.48,19,7.6612902,1,1,0,6.1504002,No
920,17,3.4100001,.91667002,3.51,36,10.256411,1,1,0,12.3201,No
1220,111,3.76,.90625,1.74,5,2.8735633,1,1,0,3.0276,No
750,15,1.0599999,.875,.1,4,40,1,1,0,.0099999998,no
900,58,3.2,.875,.1,2,20,0,0,1,.0099999998,no
800,46,1.8,1.10526,2.56,23,8.984375,1,0,1,6.5535998,No
880,17,2.3499999,1.04651,.1,4,40,1,1,0,.0099999998,no
870,14,3.5,.77551001,.1,2,20,1,0,1,.0099999998,Yes
910,108,3.29,.93616998,2.3,7,3.0434783,1,1,0,5.29,No
880,18,2.05,.83332998,1.36,92,67.647057,0,1,0,1.8496,no
